tagID,name,tagAddr,animateType,no,interval
TAG_1_axis,1호기_운행방향,http://192.168.245.3:9898/monitor/elevator/1_axis,changeImageAxis,1,NULL
TAG_1_door,1호기_문열림,http://192.168.245.3:9898/monitor/elevator/1_door,changeImageDoor,2,NULL
TAG_1_floor,1호기_운행층,http://192.168.245.3:9898/monitor/elevator/1_floor,changeText,3,NULL
TAG_1_mode,1호기_운행모드,http://192.168.245.3:9898/monitor/elevator/1_mode,changeTextEvMode,4,0
TAG_2_axis,2호기_운행방향,http://192.168.245.3:9898/monitor/elevator/2_axis,changeImageAxis,5,NULL
TAG_2_door,2호기_문열림,http://192.168.245.3:9898/monitor/elevator/2_door,changeImageDoor,6,NULL
TAG_2_floor,2호기_운행층,http://192.168.245.3:9898/monitor/elevator/2_floor,changeText,7,NULL
TAG_2_mode,2호기_운행모드,http://192.168.245.3:9898/monitor/elevator/2_mode,changeTextEvMode,8,0
TAG_3_axis,3호기_운행방향,http://192.168.245.3:9898/monitor/elevator/3_axis,changeImageAxis,9,NULL
TAG_3_door,3호기_문열림,http://192.168.245.3:9898/monitor/elevator/3_door,changeImageDoor,10,NULL
TAG_3_floor,3호기_운행층,http://192.168.245.3:9898/monitor/elevator/3_floor,changeText,11,NULL
TAG_3_mode,3호기_운행모드,http://192.168.245.3:9898/monitor/elevator/3_mode,changeTextEvMode,12,0
TAG_4_axis,4호기_운행방향,http://192.168.245.3:9898/monitor/elevator/4_axis,changeImageAxis,13,NULL
TAG_4_door,4호기_문열림,http://192.168.245.3:9898/monitor/elevator/4_door,changeImageDoor,14,NULL
TAG_4_floor,4호기_운행층,http://192.168.245.3:9898/monitor/elevator/4_floor,changeText,15,NULL
TAG_4_mode,4호기_운행모드,http://192.168.245.3:9898/monitor/elevator/4_mode,changeTextEvMode,16,0